ID;Statut (Possédé / Recherche / Non possédé);Nom de l'Édition;Catégorie;Année;Pays / Région;Éditeur;Image / Visuel Boîte;État;Prix d'achat (€);Valeur estimée (€);Emplacement / Rangement;Description & Pions;Notes personnelles
mono-monopoly-beyond-boardwalk-and-park-place-alternati;Non possédé;Monopoly Beyond Boardwalk and Park Place (Alternative Rules);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-beyond-boardwalk-and-park-place-alternati.jpg;;;;;Édition Monopoly Beyond Boardwalk and Park Place (Alternative Rules) éditée par Hasbro.;
mono-monopoly-beyond-boardwalk-and-park-place-book;Non possédé;Monopoly Beyond Boardwalk and Park Place (book);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-beyond-boardwalk-and-park-place-book.jpg;;;;;Édition Monopoly Beyond Boardwalk and Park Place (book) éditée par Hasbro.;
mono-ville-biarritz;Non possédé;Monopoly Biarritz & Côte Basque;Villes & Régions (France);2005;France;Winning Moves;;;;;;Rocher de la Vierge, Hôtel du Palais, Grande Plage, spots de surf légendaires et casino.;
mono-monopoly-bible-opoly;Non possédé;Monopoly Bible-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Bible-opoly éditée par Hasbro.;
mono-monopoly-bibleopoly;Non possédé;Monopoly Bibleopoly;Variantes & Règles Spéciales;1991;USA;Hasbro;images/box_mono-monopoly-bibleopoly.jpg;;;;;Édition Monopoly Bibleopoly éditée par Hasbro.;
mono-bid-2020;Non possédé;Monopoly Bid;Variantes & Règles Spéciales;2020;France / Monde;Hasbro;;;;;;Jeu de cartes rapide et tactique basé sur des enchères à l'aveugle pour rafler des groupes de propriétés.;
mono-monopoly-bielefeld-edition;Non possédé;Monopoly Bielefeld Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bielefeld-edition.jpg;;;;;Édition Monopoly Bielefeld Edition éditée par Hasbro.;
mono-monopoly-big-bang-theory-edition;Non possédé;Monopoly Big Bang Theory Edition;Films & Séries;2010;Monde;Hasbro;images/box_mono-monopoly-big-bang-theory-edition.jpg;;;;;Édition Monopoly Big Bang Theory Edition éditée par Hasbro.;
mono-monopoly-birmingham-alabama-edition-1;Non possédé;Monopoly Birmingham (Alabama) Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-birmingham-alabama-edition-1.jpg;;;;;Édition Monopoly Birmingham (Alabama) Edition éditée par Hasbro.;
mono-monopoly-birmingham-uk-edition;Non possédé;Monopoly Birmingham (UK) Edition;Variantes & Règles Spéciales;1998;Royaume-Uni;Winning Moves;images/box_mono-monopoly-birmingham-uk-edition.jpg;;;;;Édition Monopoly Birmingham (UK) Edition éditée par Winning Moves.;
mono-monopoly-birmingham-edition;Non possédé;Monopoly Birmingham Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Birmingham Edition éditée par Hasbro.;
mono-monopoly-birmingham-alabama-edition;Non possédé;Monopoly Birmingham, Alabama Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Birmingham, Alabama Edition éditée par Hasbro.;
mono-monopoly-birthday-gift;Non possédé;Monopoly Birthday Gift;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Birthday Gift éditée par Hasbro.;
mono-monopoly-black-color-group-properties;Non possédé;Monopoly Black Color Group Properties;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Black Color Group Properties éditée par Hasbro.;
mono-monopoly-bloxopoly-collector-s-edition;Non possédé;Monopoly Bloxopoly Collector's Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bloxopoly-collector-s-edition.jpg;;;;;Édition Monopoly Bloxopoly Collector's Edition éditée par Hasbro.;
mono-monopoly-bloxopoly-collector-edition;Non possédé;Monopoly Bloxopoly: Collector Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Bloxopoly: Collector Edition éditée par Hasbro.;
mono-monopoly-bluey-junior-edition;Non possédé;Monopoly Bluey Junior Edition;Junior & Enfants;2010;Monde;Hasbro;;;;;;Édition Monopoly Bluey Junior Edition éditée par Hasbro.;
mono-monopoly-board-crawl-edition;Non possédé;Monopoly Board Crawl Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-board-crawl-edition.png;;;;;Édition Monopoly Board Crawl Edition éditée par Hasbro.;
mono-monopoly-boardwalk;Non possédé;Monopoly Boardwalk;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-boardwalk.jpg;;;;;Édition Monopoly Boardwalk éditée par Hasbro.;
mono-monopoly-boca-juniors-edition;Non possédé;Monopoly Boca Juniors Edition;Junior & Enfants;2010;Monde;Hasbro;images/box_mono-monopoly-boca-juniors-edition.jpg;;;;;Édition Monopoly Boca Juniors Edition éditée par Hasbro.;
mono-monopoly-bogen-perk-property;Non possédé;Monopoly Bogenšperk (Property);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bogen-perk-property.jpg;;;;;Édition Monopoly Bogenšperk (Property) éditée par Hasbro.;
mono-monopoly-boise-edition;Non possédé;Monopoly Boise Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-boise-edition.png;;;;;Édition Monopoly Boise Edition éditée par Hasbro.;
mono-monopoly-book-oploy;Non possédé;Monopoly Book-oploy;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Book-oploy éditée par Hasbro.;
mono-monopoly-bookoploy;Non possédé;Monopoly Bookoploy;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Bookoploy éditée par Hasbro.;
mono-monopoly-bookopoly;Non possédé;Monopoly Bookopoly;Variantes & Règles Spéciales;2006;Monde;Hasbro;images/box_mono-monopoly-bookopoly.jpg;;;;;Édition Monopoly Bookopoly éditée par Hasbro.;
mono-monopoly-bookshelf-editions;Non possédé;Monopoly Bookshelf Editions;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bookshelf-editions.jpg;;;;;Édition Monopoly Bookshelf Editions éditée par Hasbro.;
mono-ville-bordeaux;Non possédé;Monopoly Bordeaux;Villes & Régions (France);2004;France;Winning Moves;;;;;;Place de la Bourse, Grand Théâtre, Rue Sainte-Catherine, Miroir d'eau et vignobles bordelais.;
mono-monopoly-borinkopoly;Non possédé;Monopoly Borinkopoly;Variantes & Règles Spéciales;2006;Monde;Hasbro;images/box_mono-monopoly-borinkopoly.jpg;;;;;Édition Monopoly Borinkopoly éditée par Hasbro.;
mono-monopoly-borussia-dortmund-double-sieger-2012-edit;Non possédé;Monopoly Borussia Dortmund Double-Sieger 2012 Edition;Marques & Sports;2012;Monde;Hasbro;images/box_mono-monopoly-borussia-dortmund-double-sieger-2012-edit.jpg;;;;;Édition Monopoly Borussia Dortmund Double-Sieger 2012 Edition éditée par Hasbro.;
mono-monopoly-borussia-dortmund-edition;Non possédé;Monopoly Borussia Dortmund Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-borussia-dortmund-edition.png;;;;;Édition Monopoly Borussia Dortmund Edition éditée par Hasbro.;
mono-monopoly-boston-celtics-edition;Non possédé;Monopoly Boston Celtics Edition;Marques & Sports;2006;Monde;Hasbro;images/box_mono-monopoly-boston-celtics-edition.jpg;;;;;Édition Monopoly Boston Celtics Edition éditée par Hasbro.;
mono-monopoly-boston-red-sox-collector-s-edition;Non possédé;Monopoly Boston Red Sox Collector's Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-boston-red-sox-collector-s-edition.jpg;;;;;Édition Monopoly Boston Red Sox Collector's Edition éditée par Hasbro.;
mono-monopoly-boston-red-sox-edition;Non possédé;Monopoly Boston Red Sox Edition;Variantes & Règles Spéciales;2006;USA;USAopoly / The Op;images/box_mono-monopoly-boston-red-sox-edition.jpg;;;;;Édition Monopoly Boston Red Sox Edition éditée par USAopoly / The Op.;
mono-monopoly-boston-opoly;Non possédé;Monopoly Boston-opoly;Variantes & Règles Spéciales;2010;USA;Hasbro;images/box_mono-monopoly-boston-opoly.jpg;;;;;Édition Monopoly Boston-opoly éditée par Hasbro.;
mono-monopoly-boulder-edition;Non possédé;Monopoly Boulder Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-boulder-edition.png;;;;;Édition Monopoly Boulder Edition éditée par Hasbro.;
mono-monopoly-boutique-edition;Non possédé;Monopoly Boutique Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-boutique-edition.jpg;;;;;Édition Monopoly Boutique Edition éditée par Hasbro.;
mono-monopoly-boy-scouts-of-america-edition;Non possédé;Monopoly Boy Scouts of America Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-boy-scouts-of-america-edition.jpg;;;;;Édition Monopoly Boy Scouts of America Edition éditée par Hasbro.;
mono-monopoly-bradford-edition;Non possédé;Monopoly Bradford Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-bradford-edition.jpg;;;;;Édition Monopoly Bradford Edition éditée par Hasbro.;
mono-monopoly-branson-edition;Non possédé;Monopoly Branson Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-branson-edition.png;;;;;Édition Monopoly Branson Edition éditée par Hasbro.;
mono-monopoly-bratz-junior-edition;Non possédé;Monopoly Bratz Junior Edition;Junior & Enfants;2010;Monde;Hasbro;images/box_mono-monopoly-bratz-junior-edition.jpg;;;;;Édition Monopoly Bratz Junior Edition éditée par Hasbro.;
mono-monopoly-bratz-monopoly-jr-edition;Non possédé;Monopoly Bratz Monopoly Jr. Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Bratz Monopoly Jr. Edition éditée par Hasbro.;
mono-monopoly-brave-collector-s-edition;Non possédé;Monopoly Brave Collector's Edition;Variantes & Règles Spéciales;2012;USA;USAopoly / The Op;images/box_mono-monopoly-brave-collector-s-edition.jpg;;;;;Édition Monopoly Brave Collector's Edition éditée par USAopoly / The Op.;
mono-pop-breaking-bad;Non possédé;Monopoly Breaking Bad;Films & Séries;2020;USA / Monde;USAopoly;images/mono-pop-breaking-bad.webp;;;;;Albuquerque : Los Pollos Hermanos, le labo clandestin, le camping-car Fleetwood Bounder, le chapeau Heisenberg.;
mono-monopoly-breaking-bad-edition;Non possédé;Monopoly Breaking Bad Edition;Films & Séries;2010;Monde;Hasbro;images/box_mono-monopoly-breaking-bad-edition.png;;;;;Édition Monopoly Breaking Bad Edition éditée par Hasbro.;
mono-monopoly-bremen-edition;Non possédé;Monopoly Bremen Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bremen-edition.jpg;;;;;Édition Monopoly Bremen Edition éditée par Hasbro.;
mono-monopoly-bremerhaven-edition;Non possédé;Monopoly Bremerhaven Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-bremerhaven-edition.png;;;;;Édition Monopoly Bremerhaven Edition éditée par Hasbro.;
mono-region-bretagne;Non possédé;Monopoly Bretagne;Villes & Régions (France);2002;France;Winning Moves;;;;;;Saint-Malo, Brest, Golfe du Morbihan, Carnac, Forêt de Brocéliande et Côte de Granit Rose.;
mono-monopoly-brew-opoly;Non possédé;Monopoly Brew-opoly;Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-brew-opoly.jpg;;;;;Édition Monopoly Brew-opoly éditée par Hasbro.;
mono-monopoly-brighton-hove-edition;Non possédé;Monopoly Brighton & Hove Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brighton-hove-edition.jpg;;;;;Édition Monopoly Brighton & Hove Edition éditée par Hasbro.;
mono-monopoly-brighton-edition;Non possédé;Monopoly Brighton Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brighton-edition.jpg;;;;;Édition Monopoly Brighton Edition éditée par Hasbro.;
mono-monopoly-brightside;Non possédé;Monopoly Brightside;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brightside.jpg;;;;;Édition Monopoly Brightside éditée par Hasbro.;
mono-monopoly-brisbane-broncos-nrl-wow-edition;Non possédé;Monopoly Brisbane Broncos NRL WOW Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Brisbane Broncos NRL WOW Edition éditée par Hasbro.;
mono-monopoly-brisbane-broncos-wow-charity-edition;Non possédé;Monopoly Brisbane Broncos WOW Charity Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brisbane-broncos-wow-charity-edition.jpg;;;;;Édition Monopoly Brisbane Broncos WOW Charity Edition éditée par Hasbro.;
mono-monopoly-britney-spears-edition;Non possédé;Monopoly Britney Spears Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-britney-spears-edition.png;;;;;Édition Monopoly Britney Spears Edition éditée par Hasbro.;
mono-monopoly-brooklyn-edition;Non possédé;Monopoly Brooklyn Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brooklyn-edition.png;;;;;Édition Monopoly Brooklyn Edition éditée par Hasbro.;
mono-monopoly-brown-color-group-properties;Non possédé;Monopoly Brown Color Group Properties;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-brown-color-group-properties.jpg;;;;;Édition Monopoly Brown Color Group Properties éditée par Hasbro.;
mono-be-bruxelles;Non possédé;Monopoly Bruxelles;Villes & Régions (France);2001;Belgique;Winning Moves;;;;;;Grand-Place de Bruxelles, Atomium, Manneken-Pis, Sablon et Palais Royal.;
mono-monopoly-buckey-oploly;Non possédé;Monopoly Buckey-oploly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Buckey-oploly éditée par Hasbro.;
mono-monopoly-buckoploly;Non possédé;Monopoly Buckoploly;Variantes & Règles Spéciales;2010;USA;Hasbro;images/box_mono-monopoly-buckoploly.jpg;;;;;Édition Monopoly Buckoploly éditée par Hasbro.;
mono-monopoly-builder;Possédé;Monopoly Builder;Déclinaisons & Variantes;2021;France;Hasbro Gaming;images/box_mono-builder.jpg;Très bon état;;;Collection personnelle;Édition stratégique où les joueurs achètent des terrains et empilent des blocs de construction en 3D sur l'île Monopoly pour ériger leur penthouse au centre de la ville.;Réf Hasbro F1696 / 0421F1696101. Île centrale et blocs de construction 3D.
mono-monopoly-bunnings-warehouse-edition;Non possédé;Monopoly Bunnings Warehouse Edition;Variantes & Règles Spéciales;2007;Australie;Hasbro;images/box_mono-monopoly-bunnings-warehouse-edition.jpg;;;;;Édition Monopoly Bunnings Warehouse Edition éditée par Hasbro.;
mono-monopoly-bus-ticket;Non possédé;Monopoly Bus Ticket;Éditions Spéciales & Thématiques;2010;USA;Hasbro;images/box_mono-monopoly-bus-ticket.jpg;;;;;Édition Monopoly Bus Ticket éditée par Hasbro.;
mono-monopoly-caen-edition;Non possédé;Monopoly Caen Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-caen-edition.png;;;;;Édition Monopoly Caen Edition éditée par Hasbro.;
mono-region-calvados;Non possédé;Monopoly Calvados;Villes & Régions (France);2011;France;Winning Moves;;;;;;Pays d'Auge, Deauville, Trouville, Honfleur, Bayeux et plages du Débarquement.;
mono-monopoly-camargue-edition;Non possédé;Monopoly Camargue Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-camargue-edition.png;;;;;Édition Monopoly Camargue Edition éditée par Hasbro.;
mono-monopoly-cambridge-massachusetts-edition;Non possédé;Monopoly Cambridge (Massachusetts) Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cambridge-massachusetts-edition.jpg;;;;;Édition Monopoly Cambridge (Massachusetts) Edition éditée par Hasbro.;
mono-monopoly-cambridge-edition;Non possédé;Monopoly Cambridge Edition;Variantes & Règles Spéciales;2004;Royaume-Uni;Winning Moves;images/box_mono-monopoly-cambridge-edition.jpg;;;;;Édition Monopoly Cambridge Edition éditée par Winning Moves.;
mono-monopoly-cambridge-edition-ma-usa;Non possédé;Monopoly Cambridge Edition (MA, USA);Éditions Spéciales & Thématiques;2010;USA;Hasbro;;;;;;Édition Monopoly Cambridge Edition (MA, USA) éditée par Hasbro.;
mono-monopoly-canada-opoly;Non possédé;Monopoly Canada-opoly;Villes & Pays (Monde);2010;Canada;Hasbro;images/box_mono-monopoly-canada-opoly.jpg;;;;;Édition Monopoly Canada-opoly éditée par Hasbro.;
mono-monopoly-canadian-edition-1961-release;Non possédé;Monopoly Canadian Edition (1961 release);Classique & Anniversaire;1961;Canada;Hasbro;;;;;;Édition Monopoly Canadian Edition (1961 release) éditée par Hasbro.;
mono-monopoly-canadian-edition-1982-release;Non possédé;Monopoly Canadian Edition (1982 release);Classique & Anniversaire;1982;Canada;Hasbro;images/box_mono-monopoly-canadian-edition-1982-release.jpg;;;;;Édition Monopoly Canadian Edition (1982 release) éditée par Hasbro.;
mono-monopoly-canadian-edition-1985-release;Non possédé;Monopoly Canadian Edition (1985 release);Variantes & Règles Spéciales;1985;Canada;Hasbro;images/box_mono-monopoly-canadian-edition-1985-release.jpg;;;;;Édition Monopoly Canadian Edition (1985 release) éditée par Hasbro.;
mono-monopoly-canadian-edition-2000-release;Non possédé;Monopoly Canadian Edition (2000 release);Éditions Spéciales & Thématiques;2000;Canada;Hasbro;images/box_mono-monopoly-canadian-edition-2000-release.jpg;;;;;Édition Monopoly Canadian Edition (2000 release) éditée par Hasbro.;
mono-monopoly-canadian-electronic-banking-edition-2010-;Non possédé;Monopoly Canadian Electronic Banking Edition (2010 release);Variantes & Règles Spéciales;2010;Canada;Hasbro;images/box_mono-monopoly-canadian-electronic-banking-edition-2010-.jpg;;;;;Édition Monopoly Canadian Electronic Banking Edition (2010 release) éditée par Hasbro.;
mono-monopoly-canberra;Non possédé;Monopoly Canberra;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Canberra éditée par Hasbro.;
mono-monopoly-canberra-edition;Non possédé;Monopoly Canberra Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-canberra-edition.jpg;;;;;Édition Monopoly Canberra Edition éditée par Hasbro.;
mono-monopoly-candy-opoly;Non possédé;Monopoly Candy-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-candy-opoly.jpg;;;;;Édition Monopoly Candy-opoly éditée par Hasbro.;
mono-monopoly-cantabria-edition;Non possédé;Monopoly Cantabria Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cantabria-edition.jpg;;;;;Édition Monopoly Cantabria Edition éditée par Hasbro.;
mono-monopoly-cape-cod-edition;Non possédé;Monopoly Cape Cod Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cape-cod-edition.png;;;;;Édition Monopoly Cape Cod Edition éditée par Hasbro.;
mono-monopoly-capitol-hill;Non possédé;Monopoly Capitol Hill;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Capitol Hill éditée par Hasbro.;
mono-monopoly-capitol-hill-alternative-rules;Non possédé;Monopoly Capitol Hill (Alternative Rules);Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-capitol-hill-alternative-rules.jpg;;;;;Édition Monopoly Capitol Hill (Alternative Rules) éditée par Hasbro.;
mono-monopoly-cardiff-edition;Non possédé;Monopoly Cardiff Edition;Variantes & Règles Spéciales;2009;Royaume-Uni;Winning Moves;images/box_mono-monopoly-cardiff-edition.jpg;;;;;Édition Monopoly Cardiff Edition éditée par Winning Moves.;
mono-monopoly-cards;Non possédé;Monopoly Cards;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cards.png;;;;;Édition Monopoly Cards éditée par Hasbro.;
mono-monopoly-cartoon-network-edition;Non possédé;Monopoly Cartoon Network Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-cartoon-network-edition.png;;;;;Édition Monopoly Cartoon Network Edition éditée par Hasbro.;
mono-monopoly-cash-grab;Non possédé;Monopoly Cash Grab;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Cash Grab éditée par Hasbro.;
mono-monopoly-casino-rama-big-time-edition;Non possédé;Monopoly Casino Rama Big Time Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-casino-rama-big-time-edition.jpg;;;;;Édition Monopoly Casino Rama Big Time Edition éditée par Hasbro.;
mono-monopoly-cat-lovers-edition;Non possédé;Monopoly Cat Lovers Edition;Variantes & Règles Spéciales;2007;USA;USAopoly / The Op;images/box_mono-monopoly-cat-lovers-edition.jpg;;;;;Édition Monopoly Cat Lovers Edition éditée par USAopoly / The Op.;
mono-monopoly-cat-in-the-hat-opoly;Non possédé;Monopoly Cat in the Hat-opoly;Variantes & Règles Spéciales;2003;Monde;Hasbro;images/box_mono-monopoly-cat-in-the-hat-opoly.jpg;;;;;Édition Monopoly Cat in the Hat-opoly éditée par Hasbro.;
mono-monopoly-caterpillar-cat-edition;Non possédé;Monopoly Caterpillar (CAT) Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-caterpillar-cat-edition.png;;;;;Édition Monopoly Caterpillar (CAT) Edition éditée par Hasbro.;
mono-monopoly-central-city;Non possédé;Monopoly Central City;Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-central-city.jpg;;;;;Édition Monopoly Central City éditée par Hasbro.;
mono-monopoly-central-quay;Non possédé;Monopoly Central Quay;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-central-quay.jpg;;;;;Édition Monopoly Central Quay éditée par Hasbro.;
mono-monopoly-century-of-flight-edition;Non possédé;Monopoly Century of Flight Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Century of Flight Edition éditée par Hasbro.;
mono-monopoly-century-of-flight-aviation-edition;Non possédé;Monopoly Century of Flight: Aviation Edition;Variantes & Règles Spéciales;2007;USA;USAopoly / The Op;images/box_mono-monopoly-century-of-flight-aviation-edition.jpg;;;;;Édition Monopoly Century of Flight: Aviation Edition éditée par USAopoly / The Op.;
mono-monopoly-cereal-edition;Non possédé;Monopoly Cereal Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Cereal Edition éditée par Hasbro.;
mono-region-champagne;Non possédé;Monopoly Champagne;Villes & Régions (France);2008;France;Winning Moves;;;;;;Grandes maisons de champagne d'Épernay et Reims, côte des Blancs, Montagne de Reims et caves historiques.;
mono-monopoly-championship-edition;Non possédé;Monopoly Championship Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;;;;;;Édition Monopoly Championship Edition éditée par Hasbro.;
mono-chance-2023;Non possédé;Monopoly Chance;Variantes & Règles Spéciales;2023;France / Monde;Hasbro;;;;;;Jeu de cartes et de dés rapides : tentez votre chance pour acheter des propriétés sans faire faillite !;
mono-monopoly-charles-darrow;Non possédé;Monopoly Charles Darrow;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-charles-darrow.png;;;;;Édition Monopoly Charles Darrow éditée par Hasbro.;
mono-monopoly-charleston-edition;Non possédé;Monopoly Charleston Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-charleston-edition.png;;;;;Édition Monopoly Charleston Edition éditée par Hasbro.;
mono-monopoly-cheaters-edition;Non possédé;Monopoly Cheaters Edition;Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-cheaters-edition.jpg;;;;;Édition Monopoly Cheaters Edition éditée par Hasbro.;
mono-monopoly-chelmsford-edition;Non possédé;Monopoly Chelmsford Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-chelmsford-edition.png;;;;;Édition Monopoly Chelmsford Edition éditée par Hasbro.;
mono-monopoly-chelsea-f-c-edition-1;Non possédé;Monopoly Chelsea F.C Edition;Marques & Sports;2010;Monde;Hasbro;;;;;;Édition Monopoly Chelsea F.C Edition éditée par Hasbro.;
mono-monopoly-chelsea-f-c-edition;Non possédé;Monopoly Chelsea F.C. Edition;Marques & Sports;2010;Monde;Hasbro;images/box_mono-monopoly-chelsea-f-c-edition.jpg;;;;;Édition Monopoly Chelsea F.C. Edition éditée par Hasbro.;
mono-city-chicago;Non possédé;Monopoly Chicago;Villes & Pays (Monde);2001;USA;USAopoly;images/mono-city-chicago.jpg;;;;;Willis Tower (Sears Tower), Millennium Park (The Bean), Navy Pier, Magnificent Mile, Wrigley Field.;
mono-monopoly-chicago-edition;Non possédé;Monopoly Chicago Edition;Variantes & Règles Spéciales;1995;USA;USAopoly / The Op;images/box_mono-monopoly-chicago-edition.jpg;;;;;Édition Monopoly Chicago Edition éditée par USAopoly / The Op.;
mono-monopoly-chicago-white-sox-edition;Non possédé;Monopoly Chicago White Sox Edition;Variantes & Règles Spéciales;2005;USA;USAopoly / The Op;images/box_mono-monopoly-chicago-white-sox-edition.jpg;;;;;Édition Monopoly Chicago White Sox Edition éditée par USAopoly / The Op.;
mono-monopoly-chicago-in-a-box;Non possédé;Monopoly Chicago in a Box;Variantes & Règles Spéciales;2010;USA;Hasbro;images/box_mono-monopoly-chicago-in-a-box.jpg;;;;;Édition Monopoly Chicago in a Box éditée par Hasbro.;
mono-monopoly-chile-edition;Non possédé;Monopoly Chile Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-chile-edition.jpg;;;;;Édition Monopoly Chile Edition éditée par Hasbro.;
mono-monopoly-china-edition;Non possédé;Monopoly China Edition;Villes & Pays (Monde);2010;Monde;Hasbro;images/box_mono-monopoly-china-edition.jpg;;;;;Édition Monopoly China Edition éditée par Hasbro.;
mono-monopoly-chocolate-edition;Non possédé;Monopoly Chocolate Edition;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-chocolate-edition.jpg;;;;;Édition Monopoly Chocolate Edition éditée par Hasbro.;
mono-monopoly-chocolate-opoly;Non possédé;Monopoly Chocolate-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-chocolate-opoly.jpg;;;;;Édition Monopoly Chocolate-opoly éditée par Hasbro.;
mono-monopoly-christmas-opoly;Non possédé;Monopoly Christmas-opoly;Éditions Spéciales & Thématiques;2010;Monde;Hasbro;images/box_mono-monopoly-christmas-opoly.jpg;;;;;Édition Monopoly Christmas-opoly éditée par Hasbro.;
mono-city-3d;Non possédé;Monopoly City;Variantes & Règles Spéciales;2009;France / Monde;Hasbro;;;;;;Jeu de construction urbaine en 3D : bâtissez des gratte-ciels, maisons, stades et zones industrielles au centre du plateau grâce à l'unité de construction électronique.;
mono-monopoly-city-game;Non possédé;Monopoly City (game);Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-city-game.jpg;;;;;Édition Monopoly City (game) éditée par Hasbro.;
mono-monopoly-city-streets;Non possédé;Monopoly City Streets;Variantes & Règles Spéciales;2010;Monde;Hasbro;images/box_mono-monopoly-city-streets.jpg;;;;;Édition Monopoly City Streets éditée par Hasbro.;
